000000	零零	15698745988	四川省
000001	零一	16846298455	湖北省
000002	零二	15462684654	北京市
000003	零三	15465468411	江西省
000004	零四	15465897845	广东省
000005	零五	12365478987	河南省
000006	零六	15479874597	四川省
000007	零七	15469874569	湖南省
000008	零八	15645698741	浙江省
000009	零九	15698787456	江苏省
000010 	一零	12687456987	福建省
000011	一一	16548794589	湖北省
000012	一二	16845698745	湖南省
000013	一三	13654698755	四川省
000014	一四	15469774569	北京市
000015	一五	15698745698	新疆省
000016	一六	15698745698	西藏
000017	一七	15698745698	陕西省
000018	一八	15644568756	四川省
000019	一九	16589845698	江苏省
000020	二零	15698456989	湖北省
